Event	ID	Name			Wwise Object Path	Notes
	98439365	Play_PLAYER_Footsteps			\Default Work Unit\PLAYER\Play_PLAYER_Footsteps	
	740518234	Play_UI_Menu_button_pressed			\Default Work Unit\UI\Play_UI_Menu_button_pressed	
	872933623	Play_ENEMY_Aggro_Close_Attack			\Default Work Unit\ENEMY\Play_ENEMY_Aggro_Close_Attack	
	1042134263	Play_PLAYER_Human_Breaths			\Default Work Unit\PLAYER\Play_PLAYER_Human_Breaths	
	1508763586	Play_ENEMY_Random_Snores_No_Limitation			\Default Work Unit\ENEMY\Play_ENEMY_Random_Snores_No_Limitation	
	1883557774	Play_UI_Menu_button_hover			\Default Work Unit\UI\Play_UI_Menu_button_hover	
	2640841182	Play_PLAYER_CBT_wrong_btn			\Default Work Unit\PLAYER\Play_PLAYER_CBT_wrong_btn	
	2734126450	Play_ENEMY_CBT_damage			\Default Work Unit\ENEMY\Play_ENEMY_CBT_damage	
	2877007734	Play_ENVIRO_Combat_Timer_End_Pattern_Switch			\Default Work Unit\ENVIRO\Play_ENVIRO_Combat_Timer_End_Pattern_Switch	
	2932040671	Play_MUSIC			\Default Work Unit\MUSIC\Play_MUSIC	

State Group	ID	Name			Wwise Object Path	Notes
	2012657067	New_State_Group			\Default Work Unit\New_State_Group	

State	ID	Name	State Group			Notes
	748895195	None	New_State_Group			
	2582085496	Exploration	New_State_Group			
	2607556080	Menu	New_State_Group			
	2764240573	Combat	New_State_Group			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	254877641	UI_Menu_button_pressed_04	.cache\B8\{B86465A2-1727-457B-DEC5-1F05AA80A5D2}.wem		\Containers\Default Work Unit\UI_HUD\UI_Menu_button_pressed\UI_Menu_button_pressed_04		15124
	272770045	pig_deamage_02	.cache\7E\{7E74E7D0-B510-CA94-1F81-B8E3FAE088A7}.wem		\Containers\Default Work Unit\ENEMY\ENEMY_CBT_damage\pig_deamage_02		75152
	299721440	sfx_ENEMY_pig_snors_07	.cache\30\{3032B3AD-DB2B-4B87-D36D-888A03685196}.wem		\Containers\Default Work Unit\ENEMY\ENEMY_Random_Snores_No_Limitation\sfx_ENEMY_pig_snors_07		53358
	301282847	swinehide_footstep_12	.cache\96\{96913355-277C-7D29-ECA4-4334ECCBDFD3}.wem		\Containers\Default Work Unit\PLAYER\PLAYER_Footsteps\swinehide_footstep_12		27266
	310891478	player_wrong_button	.cache\6A\{6A9CF8EC-42CA-9FB2-7ED4-7E0CE702052F}.wem		\Containers\Default Work Unit\PLAYER\PLAYER_CBT_wrong_btn\player_wrong_button		54070
	311265268	UI_Menu_button_hover_06	.cache\E4\{E4649C3E-AD55-258B-8A50-6DB0A5548167}.wem		\Containers\Default Work Unit\UI_HUD\UI_Menu_button_hover\UI_Menu_button_hover_06		19716
	364034125	swinehide_timer	.cache\35\{35E1D179-5ADD-0F05-51DD-3F12A6FD1A94}.wem		\Containers\Default Work Unit\GLOBAL_ENVIRO\ENVIRO_Combat_Timer_End_Pattern_Switch\swinehide_timer		275264
	417137976	sfx_ENEMY_pig_snors_04	.cache\1B\{1B85987D-282D-9E2A-5DFB-96DBF460DAA0}.wem		\Containers\Default Work Unit\ENEMY\ENEMY_Aggro_Close_Attack\sfx_ENEMY_pig_snors_04		32538
	426653678	swinehide_breath_04	.cache\BD\{BD264F41-8D14-DA88-76A5-80CDFC9CCDC9}.wem		\Containers\Default Work Unit\PLAYER\PLAYER_Human_Breaths\swinehide_breath_04		86982
	431270508	swinehide_footstep_04	.cache\F5\{F503A9E5-F585-3382-182C-EDB984CAA6C8}.wem		\Containers\Default Work Unit\PLAYER\PLAYER_Footsteps\swinehide_footstep_04		41292
	470317656	UI_Menu_button_hover_05	.cache\B5\{B5815951-0CF0-408D-B9E8-34EBEE13AAAD}.wem		\Containers\Default Work Unit\UI_HUD\UI_Menu_button_hover\UI_Menu_button_hover_05		15540
	502190946	UI_Menu_button_hover_02	.cache\85\{85CD8337-8AEA-809E-EC5F-C346FB1A499C}.wem		\Containers\Default Work Unit\UI_HUD\UI_Menu_button_hover\UI_Menu_button_hover_02		10950
	547956405	sfx_ENEMY_pig_snors_05	.cache\83\{83A6F3C1-8186-C226-A44E-204E1FD93D1B}.wem		\Containers\Default Work Unit\ENEMY\ENEMY_Random_Snores_No_Limitation\sfx_ENEMY_pig_snors_05		32188
	548364396	swinehide_footstep_07	.cache\4C\{4C8220FF-DC42-7775-7727-F74BDD4478FA}.wem		\Containers\Default Work Unit\PLAYER\PLAYER_Footsteps\swinehide_footstep_07		18478
	569582531	swinehide_breath_06	.cache\57\{57B1A951-2D77-1BD0-799F-FA858D849E4B}.wem		\Containers\Default Work Unit\PLAYER\PLAYER_Human_Breaths\swinehide_breath_06		72816
	588552891	UI_Menu_button_pressed_01	.cache\14\{145C5D5E-B397-45EC-4CBB-5E8F38E6007D}.wem		\Containers\Default Work Unit\UI_HUD\UI_Menu_button_pressed\UI_Menu_button_pressed_01		14706
	621185723	swinehide_footstep_06	.cache\E1\{E171B10B-5A60-D319-6BCA-6A08A0F3A3C5}.wem		\Containers\Default Work Unit\PLAYER\PLAYER_Footsteps\swinehide_footstep_06		56082
	635466652	swinehide_breath_07	.cache\01\{0162CD88-572E-AE5B-582B-01E34749E771}.wem		\Containers\Default Work Unit\PLAYER\PLAYER_Human_Breaths\swinehide_breath_07		84148
	658999416	swinehide_breath_09	.cache\D2\{D2AEB20C-C838-AEF8-FC46-4EE56EF54653}.wem		\Containers\Default Work Unit\PLAYER\PLAYER_Human_Breaths\swinehide_breath_09		108468
	662528356	sfx_ENEMY_pig_snors_08	.cache\DF\{DF59344A-7EA8-161E-F815-5B3B9E6FF82D}.wem		\Containers\Default Work Unit\ENEMY\ENEMY_Random_Snores_No_Limitation\sfx_ENEMY_pig_snors_08		47092
	709200165	Exploration_lp	.cache\0F\{0F163DD5-7112-563A-5F8A-DD32E2B05E4A}.wem		\Containers\Default Work Unit\MUSIC\MUSIC_Exploration\MSC_Exploration\Exploration_lp		4057296
	757334483	swinehide_breath_01	.cache\D5\{D552B1D0-FF29-7D4D-5EFB-3B8053C551EA}.wem		\Containers\Default Work Unit\PLAYER\PLAYER_Human_Breaths\swinehide_breath_01		110592
	759604041	swinehide_footstep_09	.cache\09\{090FE1FD-FBD7-EA5B-8084-F8479AE43703}.wem		\Containers\Default Work Unit\PLAYER\PLAYER_Footsteps\swinehide_footstep_09		21194
	778752428	pig_deamage_05	.cache\D4\{D4217757-E9A0-4BE7-01E2-22687F542466}.wem		\Containers\Default Work Unit\ENEMY\ENEMY_CBT_damage\pig_deamage_05		104804
	849610129	sfx_ENEMY_pig_snors_01	.cache\AD\{AD39D6E8-0EF2-B077-C04A-F044C343C1C2}.wem		\Containers\Default Work Unit\ENEMY\ENEMY_Random_Snores_No_Limitation\sfx_ENEMY_pig_snors_01		26372
	864842093	swinehide_footstep_01	.cache\F5\{F5654997-8AE6-4B1F-4138-702180A8F2A0}.wem		\Containers\Default Work Unit\PLAYER\PLAYER_Footsteps\swinehide_footstep_01		21198
	868473270	swinehide_footstep_11	.cache\F0\{F0D100D7-4EDD-64E9-0EB0-92B1D2085DD6}.wem		\Containers\Default Work Unit\PLAYER\PLAYER_Footsteps\swinehide_footstep_11		30236
	869159143	pig_deamage	.cache\21\{21C6994B-20D0-D3FF-F584-08C5A00F798B}.wem		\Containers\Default Work Unit\ENEMY\ENEMY_CBT_damage\pig_deamage		101792
	925026697	concept_menu_loop	.cache\F5\{F577993F-8165-85DE-5E49-03447DA1B11F}.wem		\Containers\Default Work Unit\MUSIC\MUSIC_Menu\MSC_Menu\concept_menu_loop		16896744
	927047882	swinehide_footstep_03	.cache\0B\{0BD884DB-DFBC-5D21-163C-0C2865CAD746}.wem		\Containers\Default Work Unit\PLAYER\PLAYER_Footsteps\swinehide_footstep_03		28220
	970758755	swinehide_breath_02	.cache\C3\{C3FEDED3-59C6-F493-EF26-0B439CBC1BBB}.wem		\Containers\Default Work Unit\PLAYER\PLAYER_Human_Breaths\swinehide_breath_02		116258
	991890985	pig_deamage_04	.cache\AE\{AEAAC809-DA60-EAF3-ED0E-6074A56BB8B2}.wem		\Containers\Default Work Unit\ENEMY\ENEMY_CBT_damage\pig_deamage_04		101512
	1068677485	sfx_ENEMY_pig_snors_06	.cache\35\{35D49AA0-3FEE-1D09-6BF6-F388DA821683}.wem		\Containers\Default Work Unit\ENEMY\ENEMY_Random_Snores_No_Limitation\sfx_ENEMY_pig_snors_06		75338

